UTP,Unshielded Twisted Pair Cable
Cat-4,Category 4 ethernet cable
RJ-45,It is connector used in both ends of cat-5 cable
Speed, Information,It is usually written on the cable
Brown, Blue, Orange, Green,The four pairs of wires in cat-5 cable
1 plain, 1 striped,The combination of wires in pairs in the cat-5 cable
Electromagnetic interference, Crosstalk,Cat-5 pairs are twisted to reduce _______ and ______.
Sends data,Orange cat-5 wire pair
Receives data,Green cat-5 wire pair
Blue, Brown,They are reserved for future bandwidth capacity
Solid color,It represents negative polarity
Stripe color,It represents positive polarity
Bandwidth,The transmission capacity of a computer network or telecommunication system
Speed,The rate at which something is able to move.
Base T,It is an Ethernet standard
Megabits,It is the bandwidth rate used in the telecommunication and computer networking field.
Megabyte,It is a data transfer rate used in computing.
568A, 568B,Two RJ-45 connector standards
100 m,It is the maximum length of the cat-5 cable
Coaxial cables,It is used to create networks. It has one big copper wire. The different connectors are T connector, end connector, terminator, and coupler.
Cat-5 cables,It has 8 wires and RJ-45 are one of the connectors.
RJ-62 network,They are also known as Coaxial networks
Bus,Coaxial networks count on a central line called _____
Toner Tracer,Listens to electrons (noises) generated by the signals
Light,Fiber Optic Cables uses ______ rather electrons to send network information.
Cladding,The layer outside of the core of the optical fiber cable.
30 cm,Minimum bend for the optical fiber
Microfracture, real fracture, sever leak light,These are the causes of data loss in optical fiber
Fusion Splicer,It fixes the broken/overbent fiber optic cables
SL, ST, LC,Fiber optic connectors
Snap-in connector,SC
Straight tip,ST
Lucent connector,LC
Single mode, Multiple modes,Two types of fiber optic cables
Single Path,One path; A laser light used in this fiber optic cables
Multiple Mode,A laser light or led light used in this fiber optic cables
Water, Heat, Vibration,These are the obstacles of the networking cables
J-Hooks,It is used to hang cable from. These are usually attached to floor joint or beams
Cable Protectors,These are used to protect cables that have to run on floors.
Cable Trays,They are used to hold large numbers of cables that have to run relatively long distances.
Raceways,It is often used to run cable to workstations that do not have wall jack access.
Cable Ties,It keeps the cables neat.
Smurf tubes,It is generally run in new buildings inside the walls.
Patch Panel,Organize the able and wire connections to the wiring closet. It works like a telephone switchboard but for cables.
Network Topology,This is the picture of ________
568A cable,Which cable is it?
568B cable,Which cable is it?
Multimeter,Measures the length of the wire and resistance along a cable
Resistance(Ω),Measures how hard it is for electrons to move through a wire.
Higher Resistance,Tougher for electron to move.
Infinite Resistance,Broken Wire
Long wire,Resistance increases
Direct Current,DC (Battery)
Alternating Current,AC (Alternating current)
Oscilloscope,It shows the voltage changes over time
Voltage,Pressure to make electrons move
Signal,The _____ on a network cable is just the change in voltage
Noise,Extraneous Voltage
Logic Analyzer,It measure the voltage changes over time. It shows the binary value "1" when the voltage reaches a certain level. It measures whether the signal isn't a strong enough to carry the network data. It interprets the signal into binary data.
Lan Analyzer,It has all the functions of the multimeter, logic analyzer and toner tracer. It understands the network traffic in the signal.
Frames,The data is in the form of _____ frames on an Ethernet network.
Non-return zero 1,NRZ-1 (It is one of the encoding method) Flip the voltage pulses.
0,Whenever the signal changes from high to low, encode a _____
1,Whenever the signal changes from low to high, encode a ______
Network Interface Card (NIC),Encoding is handled by the ____________ inside the computer. It handles and decodes digital signals, and is in charge of all the messaging ins and outs of the computer.
Read-only Memory chips (ROM),It is in the NIC which stores the MAC address
MAC,Media Access Address
NRZ coding,Over here the binary data is represented by the high and low voltage levels: high is a 1, low is a 0
Manchester Coding,Over here, it is the transition to a voltage that represents data. The ethernet standard tells hardware how to encode the data. The protocol for 10BaseT Ethernet specifies that the signal will be encoded using _________.
Error Correction,Any time we need to send data on a network, you can run into problems with that data. Different encoding methods allow for detection and correction of those problems. It helps maintain the integrity of the data.
25,Binary to Decimal (11001)
American Standard Code for Information Interchange,ASCII
Bit,Each binary digit is called a _____
Byte,Eight bits together form a ______
42,Hexadecimal to Decimal (0002A)
Protocols,It defines the structure of a message
Frame,It is a logical structure of bits that organizes network traffic so every device knows how to read the information inside of it.
Packet,It is another structure inside the frame. It tells the correct order (sequence number)
Preamble,It is 7 bytes. The regular pattern of bits allows the communicating network devices to synchronize their clock pulses.
Start of frame,It is 1 byte. It ends with two '1's. It also indicates that the crucial content is in its way.
Destination Mac Address,It is the hardware address of the next network device to which the packet is traveling
Source Mac Address,It is the hardware address of the last device that sent the frame
Ethertype,It tells what is being transported in the payload
Payload,It is the meat of the frame. It holds the data being sent.
Cyclic Redundancy Check,It is the number that allows the receiving hardware (the NIC) to check if the frame contains any errors.
First Half,_____ of the Mac Address is a special code assigned to the manufacturer of the hardware.
Last Half,______ of the address is a number the manufacturer uses to number the devices they produce
UDP (Protocol Type 17),It is used for streaming data such as music and videos
ICMP (Protocol Type 1),It is used for testing network connections using the ping program
TCP Packet (Protocol Type 6),It is used for most IP network communications that require a reliable connection. (Checking no information is lost)
Datagrams,It is used to refer to data sent in packets by an unreliable protocol such UDP or ICMP
Mac addresses,It is usually six byte long, or 48 bits. Typically they are written in hexadecimal format and separated by colons or dashes, like this 0f:2b:5d:e7:a3:eb
Hubs and switches,___________ work on the local area network (LAN) or intranet
Routers,It allows us to set up wide area networks (WANs) or internets
Hub,It is really just an electrical repeater. It takes whatever signal comes in, and sends it out on all the other ports. It has two devices connected to it that could have sent the signal, a computer and a switch.
Switch,It reads the signal as a frame and uses the frame's information to send it where it's supposed to go. This is done by using the MAC address of the frame. They can store packets and forward them to their destinations.
Application Specific Integrated Circuits (ASCIS),These are highly specialized integrated circuits.
